title,link,link_type,published,summary
Dialogue Book of Mormon Gospel Study with Rev. Dr. Fatimah Salleh on Enos,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_51.m4a,audio/x-m4a,"Wed, 22 Apr 2020 20:33:23 +0000","<p>Rev. Dr. Fatimah Salleh Recorded Sunday April 12, 2020, 12 PM EST/9 AM PST Easter In the era of COVID-19, we are all looking for new ways to connect. Dialogue is proud to host Sunday…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-sunday-school-2-w-rev-dr-fatimah-salleh/"">Dialogue Book of Mormon Gospel Study with Rev. Dr. Fatimah Salleh on Enos</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Heritage #3,https://www.dialoguejournal.com/diablogue/dialogue-heritage-3/,text/html,"Wed, 01 Apr 2020 18:17:31 +0000","<p>In the third Dialogue Heritage podcast, Editor Taylor Petrey and Art Director Andi Pitcher Davis look at the era of Mary Bradford’s editorship, from the late 1970s and early 1980s. One specific article they find…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-heritage-3/"">Dialogue Heritage #3</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Heritage #3,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/DialogueHeritage_Ep3.mp3,audio/mpeg,"Wed, 01 Apr 2020 18:17:31 +0000","<p>In the third Dialogue Heritage podcast, Editor Taylor Petrey and Art Director Andi Pitcher Davis look at the era of Mary Bradford’s editorship, from the late 1970s and early 1980s. One specific article they find…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-heritage-3/"">Dialogue Heritage #3</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Book of Mormon Gospel Study with Rosalynde Welch on Jacob 5–7,https://www.dialoguejournal.com/diablogue/dialogue-sunday-school-1-w-rosalynde-welch/,text/html,"Sun, 29 Mar 2020 19:48:29 +0000","<p>Rosalynde Welch is a scholar of Latter-day Saint literature, theology and philosophy. She holds a PhD in early modern English literature, and has published numerous articles and book chapters in these fields. Her main academic…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-sunday-school-1-w-rosalynde-welch/"">Dialogue Book of Mormon Gospel Study with Rosalynde Welch on Jacob 5–7</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Book of Mormon Gospel Study with Rosalynde Welch on Jacob 5–7,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_50.mp3,audio/mpeg,"Sun, 29 Mar 2020 19:48:29 +0000","<p>Rosalynde Welch is a scholar of Latter-day Saint literature, theology and philosophy. She holds a PhD in early modern English literature, and has published numerous articles and book chapters in these fields. Her main academic…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-sunday-school-1-w-rosalynde-welch/"">Dialogue Book of Mormon Gospel Study with Rosalynde Welch on Jacob 5–7</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Lectures #49 w/ Benjamin Park,https://www.dialoguejournal.com/diablogue/dialogue-lectures-49-w-benjamin-park/,text/html,"Tue, 17 Mar 2020 21:34:45 +0000","<p>In this Dialogue podcast Benjamin Park discusses “Kingdom of Nauvoo: The Rise and Fall of a Religious Empire on the American Frontier.” From the Miller Eccles website: While Nauvoo may be a familiar story to…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-lectures-49-w-benjamin-park/"">Dialogue Lectures #49 w/ Benjamin Park</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Lectures #49 w/ Benjamin Park,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialoguepodcast_49.mp3,audio/mpeg,"Tue, 17 Mar 2020 21:34:45 +0000","<p>In this Dialogue podcast Benjamin Park discusses “Kingdom of Nauvoo: The Rise and Fall of a Religious Empire on the American Frontier.” From the Miller Eccles website: While Nauvoo may be a familiar story to…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-lectures-49-w-benjamin-park/"">Dialogue Lectures #49 w/ Benjamin Park</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Out Loud Presents Bode and Iris by Levi Peterson,https://www.dialoguejournal.com/diablogue/dialogue-out-loud-1-bode-and-iris-by-levi-peterson/,text/html,"Tue, 03 Mar 2020 23:23:05 +0000","<p>For this inagural Dialogue “Out Loud” podcast, we had to choose this beautiful story of a more contemporary backslider and the life he chooses to make. “Bode and Iris” introduces us to two characters in…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-out-loud-1-bode-and-iris-by-levi-peterson/"">Dialogue Out Loud Presents Bode and Iris by Levi Peterson</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Out Loud Presents Bode and Iris by Levi Peterson,https://media.blubrry.com/dialogue_journal/www.dialoguejournal.com/wp-content/uploads/podcasts/dialogueoutloud1.mp3,audio/mpeg,"Tue, 03 Mar 2020 23:23:05 +0000","<p>For this inagural Dialogue “Out Loud” podcast, we had to choose this beautiful story of a more contemporary backslider and the life he chooses to make. “Bode and Iris” introduces us to two characters in…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-out-loud-1-bode-and-iris-by-levi-peterson/"">Dialogue Out Loud Presents Bode and Iris by Levi Peterson</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
Dialogue Book Report #2,https://www.dialoguejournal.com/diablogue/dialogue-book-report-2/,text/html,"Thu, 20 Feb 2020 01:57:18 +0000","<p>For our second Book Report, Book Review Editor Andrew Hall discuss the rest of the reviews newly available in the Winter 2019 Issue including Pleasing Tree, The Mormon Hierarchy: Wealth & Corporate, On Fire in…</p>
<p>The post <a href=""https://www.dialoguejournal.com/diablogue/dialogue-book-report-2/"">Dialogue Book Report #2</a> appeared first on <a href=""https://www.dialoguejournal.com"">Dialogue Journal</a>.</p>"
