title,link,link_type,published,summary
Blackouts across Ukraine after wave of Russian strikes,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hlb1dl.mp3,audio/mpeg,"Fri, 22 Mar 2024 15:16:00 +0000","<p>Up to a million people left without power after Russian missiles targeted energy infrastructure. Also: Russia and China block US call for immediate Gaza ceasefire at UN, and the real reason your baby smells nice, while your teenager doesn't.</p>"
Blackouts across Ukraine after wave of Russian strikes,http://www.bbc.co.uk/programmes/p0hlb2zk,text/html,"Fri, 22 Mar 2024 15:16:00 +0000","<p>Up to a million people left without power after Russian missiles targeted energy infrastructure. Also: Russia and China block US call for immediate Gaza ceasefire at UN, and the real reason your baby smells nice, while your teenager doesn't.</p>"
Blinken says US still pushing for Gaza ceasefire deal,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hl628y.mp3,audio/mpeg,"Fri, 22 Mar 2024 01:11:00 +0000","<p>The US Secretary of State Antony Blinken, was speaking in Cairo after talks with senior ministers from Arab countries. Also: US government accuses Apple of monopolising smartphone market, and first-ever pig kidney transplant into a living human hailed a success.</p>"
Blinken says US still pushing for Gaza ceasefire deal,http://www.bbc.co.uk/programmes/p0hl62g7,text/html,"Fri, 22 Mar 2024 01:11:00 +0000","<p>The US Secretary of State Antony Blinken, was speaking in Cairo after talks with senior ministers from Arab countries. Also: US government accuses Apple of monopolising smartphone market, and first-ever pig kidney transplant into a living human hailed a success.</p>"
Washington ramps up the search for a ceasefire in Gaza,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hl29jv.mp3,audio/mpeg,"Thu, 21 Mar 2024 15:12:00 +0000","<p>The Americans have submitted a draft resolution to the UN calling for an end to fighting. Also: the European Union looks set to clamp down on unpaid internships, and why there's so much excitement around a newborn in an Athens zoo.</p>"
Washington ramps up the search for a ceasefire in Gaza,http://www.bbc.co.uk/programmes/p0hl2cct,text/html,"Thu, 21 Mar 2024 15:12:00 +0000","<p>The Americans have submitted a draft resolution to the UN calling for an end to fighting. Also: the European Union looks set to clamp down on unpaid internships, and why there's so much excitement around a newborn in an Athens zoo.</p>"
Survivors of the civil war in Sudan tell of rapes and other attacks,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hkxr2m.mp3,audio/mpeg,"Thu, 21 Mar 2024 00:40:00 +0000","<p>The BBC has been given graphic accounts of rape and ethnic violence in Sudan. Also: French regulators impose a fine on Google of more than $270m for violating intellectual property rules,  and an age limit is being imposed on retinol skin products being sold in Sweden.</p>"
Survivors of the civil war in Sudan tell of rapes and other attacks,http://www.bbc.co.uk/programmes/p0hkxr61,text/html,"Thu, 21 Mar 2024 00:40:00 +0000","<p>The BBC has been given graphic accounts of rape and ethnic violence in Sudan. Also: French regulators impose a fine on Google of more than $270m for violating intellectual property rules,  and an age limit is being imposed on retinol skin products being sold in Sweden.</p>"
Protesting Polish farmers challenge EU policies,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hkt5z8.mp3,audio/mpeg,"Wed, 20 Mar 2024 15:40:00 +0000","<p>Polish farmers are blocking roads and border crossings in protest against the EU agreement to extend duty free imports of Ukrainian produce. Also: The US Secretary of State, Antony Blinken, is back in the Middle East for the sixth time since the war in Gaza began, and we find out how China is dealing with its ageing population.</p>"
Protesting Polish farmers challenge EU policies,http://www.bbc.co.uk/programmes/p0hktgkj,text/html,"Wed, 20 Mar 2024 15:40:00 +0000","<p>Polish farmers are blocking roads and border crossings in protest against the EU agreement to extend duty free imports of Ukrainian produce. Also: The US Secretary of State, Antony Blinken, is back in the Middle East for the sixth time since the war in Gaza began, and we find out how China is dealing with its ageing population.</p>"
