title,link,link_type,published,summary
Why is the US air dropping aid to Gaza?,https://crooked.com,text/html,"Wed, 6 Mar 2024 08:00:00 +0000","Tommy and Ben discuss the futility of aerial aid drops by the US in Gaza, Kamala Harris’ speech calling for an immediate ceasefire, Netanyahu rival Benny Gantz’s visit to Washington, and do a preview of President Biden’s State of the Union address. Then they discuss the breakdown of order in Haiti as gangs overrun prisons, a German audio leak about long range missiles for Ukraine posted by Russian state media, France enshrining abortion into their constitution, the thousands of Russians who came out for Alexei Navalny’s funeral, repercussions for multiple US leakers of classified intelligence, and Tucker Carlson’s about face on Putin. Then Tommy speaks with Kholood Khair, a Sudanese political analyst and founder of the Confluence Advisory think tank about the civil war in Sudan."
Why is the US air dropping aid to Gaza?,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/ad28e76e-60ef-4773-abe6-f8cc4ed47d42/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=ad28e76e-60ef-4773-abe6-f8cc4ed47d42&feed=AeLYwXNc,audio/mpeg,"Wed, 6 Mar 2024 08:00:00 +0000","Tommy and Ben discuss the futility of aerial aid drops by the US in Gaza, Kamala Harris’ speech calling for an immediate ceasefire, Netanyahu rival Benny Gantz’s visit to Washington, and do a preview of President Biden’s State of the Union address. Then they discuss the breakdown of order in Haiti as gangs overrun prisons, a German audio leak about long range missiles for Ukraine posted by Russian state media, France enshrining abortion into their constitution, the thousands of Russians who came out for Alexei Navalny’s funeral, repercussions for multiple US leakers of classified intelligence, and Tucker Carlson’s about face on Putin. Then Tommy speaks with Kholood Khair, a Sudanese political analyst and founder of the Confluence Advisory think tank about the civil war in Sudan."
CPAC Doubles Down on Creepy Autocrats,https://crooked.com,text/html,"Wed, 28 Feb 2024 08:00:00 +0000","Ben and Tommy discuss President Biden’s claim that a ceasefire deal between Israel and Hamas may be imminent, the domestic political problems the war is creating for Biden, the latest on efforts to defer attacks by Iran’s proxy groups in the Middle East, and some rare good news about Iran’s nuclear program. They also discuss the staggering casualty numbers from the war in Ukraine, claims that a prisoner exchange involving Alexei Navalny was in final stages before his death, new reports about extensive Russian efforts to interfere in our elections, right-wing autocratic creeps at CPAC, an investigation into the Mexican president’s ties with drug cartels, Saudi Arabia dumping money on celebrities and CEOs in Miami, and why Taylor Swift’s dad was throwing punches in Australia. Then Ben talks with Wai Wai Nu, a human rights activist and founder of the Women’s Peace Network about the civil war in Myanmar."
CPAC Doubles Down on Creepy Autocrats,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/183043b5-9765-4e69-adea-12f492976460/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=183043b5-9765-4e69-adea-12f492976460&feed=AeLYwXNc,audio/mpeg,"Wed, 28 Feb 2024 08:00:00 +0000","Ben and Tommy discuss President Biden’s claim that a ceasefire deal between Israel and Hamas may be imminent, the domestic political problems the war is creating for Biden, the latest on efforts to defer attacks by Iran’s proxy groups in the Middle East, and some rare good news about Iran’s nuclear program. They also discuss the staggering casualty numbers from the war in Ukraine, claims that a prisoner exchange involving Alexei Navalny was in final stages before his death, new reports about extensive Russian efforts to interfere in our elections, right-wing autocratic creeps at CPAC, an investigation into the Mexican president’s ties with drug cartels, Saudi Arabia dumping money on celebrities and CEOs in Miami, and why Taylor Swift’s dad was throwing punches in Australia. Then Ben talks with Wai Wai Nu, a human rights activist and founder of the Women’s Peace Network about the civil war in Myanmar."
Dissident at the Doorstep Episode 8: The Shit In The Frame,https://crooked.com,text/html,"Sat, 24 Feb 2024 09:00:00 +0000","Guangcheng has put his life on the line to stand up for noble causes and principles. He has also thrown his support behind Trump and, more recently, a range of intolerant ideas. There are so many things to admire about him, but there are others that are hard to excuse. We thought with this series that we could show how all these things could be true at once. But as we got closer to the end of the story, we learned just how hard that really is."
Dissident at the Doorstep Episode 8: The Shit In The Frame,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/2b710f7b-f904-4afd-a906-053481a0fb3a/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=2b710f7b-f904-4afd-a906-053481a0fb3a&feed=AeLYwXNc,audio/mpeg,"Sat, 24 Feb 2024 09:00:00 +0000","Guangcheng has put his life on the line to stand up for noble causes and principles. He has also thrown his support behind Trump and, more recently, a range of intolerant ideas. There are so many things to admire about him, but there are others that are hard to excuse. We thought with this series that we could show how all these things could be true at once. But as we got closer to the end of the story, we learned just how hard that really is."
Can Ukraine Outlast Putin?,https://crooked.com,text/html,"Wed, 21 Feb 2024 08:00:00 +0000","Tommy and Ben discuss the two-year anniversary of Russia’s invasion of Ukraine, the military defeat of Avdiivka, panic at the Munich Security Conference over Republicans blocking more aid to Ukraine, and how Ukrainians have adapted to living in a state of war. Then they talk about calls for accountability for Alexei Navalny’s death and his wife Yulia’s promise to continue Alexei’s work, the arrest of an American dual national in Russia, Tucker Carlson’s Moscow metro propaganda videos, and an update on Russia’s space nukes. They also look at Netanyahu’s insistence on invading Rafah, a pro-Israel group’s attack on a Washington Post reporter, the Indonesian elections, why Jared Kushner is still a sniveling little prick, and a very Australian mankini scandal. Then Tommy talks with Mstyslav Chernov about his incredible documentary, 20 Days in Mariupol."
Can Ukraine Outlast Putin?,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/b6399b69-6144-470f-8700-2071c1c5781c/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=b6399b69-6144-470f-8700-2071c1c5781c&feed=AeLYwXNc,audio/mpeg,"Wed, 21 Feb 2024 08:00:00 +0000","Tommy and Ben discuss the two-year anniversary of Russia’s invasion of Ukraine, the military defeat of Avdiivka, panic at the Munich Security Conference over Republicans blocking more aid to Ukraine, and how Ukrainians have adapted to living in a state of war. Then they talk about calls for accountability for Alexei Navalny’s death and his wife Yulia’s promise to continue Alexei’s work, the arrest of an American dual national in Russia, Tucker Carlson’s Moscow metro propaganda videos, and an update on Russia’s space nukes. They also look at Netanyahu’s insistence on invading Rafah, a pro-Israel group’s attack on a Washington Post reporter, the Indonesian elections, why Jared Kushner is still a sniveling little prick, and a very Australian mankini scandal. Then Tommy talks with Mstyslav Chernov about his incredible documentary, 20 Days in Mariupol."
Dissident at the Doorstep Episode 7: Lost And Found In Translation,https://crooked.com,text/html,"Sat, 17 Feb 2024 09:00:00 +0000","With a new position at the Catholic University of America and funding from a rightwing think tank, Guangcheng takes on a new challenge: strengthening his English. We examine why this became such a top priority for Guangcheng and his patrons, what it means to traverse borders and negotiate between languages, and how Guangcheng’s political beliefs are translated by different audiences in a country that elected Donald Trump."
Dissident at the Doorstep Episode 7: Lost And Found In Translation,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/dd408ed6-a8d5-4340-b356-803ddc68a498/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=dd408ed6-a8d5-4340-b356-803ddc68a498&feed=AeLYwXNc,audio/mpeg,"Sat, 17 Feb 2024 09:00:00 +0000","With a new position at the Catholic University of America and funding from a rightwing think tank, Guangcheng takes on a new challenge: strengthening his English. We examine why this became such a top priority for Guangcheng and his patrons, what it means to traverse borders and negotiate between languages, and how Guangcheng’s political beliefs are translated by different audiences in a country that elected Donald Trump."
Breaking: Putin Kills Alexei Navalny,https://crooked.com,text/html,"Sat, 17 Feb 2024 01:31:27 +0000","Tommy and Ben discuss the breaking news that Russia’s most prominent opposition figure, Alexei Navalny, has died while in prison. The only information available so far is coming from prison officials and Russian government-run news channels, who claim that Navalny collapsed. Tommy and Ben talk about Navalny’s legacy, nearly universal blame being put on Putin for his death, Biden’s response, and what this means for Russia’s opposition and political future."
Breaking: Putin Kills Alexei Navalny,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/fb907a3a-4a92-4a70-b17f-12662cec9b44/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=fb907a3a-4a92-4a70-b17f-12662cec9b44&feed=AeLYwXNc,audio/mpeg,"Sat, 17 Feb 2024 01:31:27 +0000","Tommy and Ben discuss the breaking news that Russia’s most prominent opposition figure, Alexei Navalny, has died while in prison. The only information available so far is coming from prison officials and Russian government-run news channels, who claim that Navalny collapsed. Tommy and Ben talk about Navalny’s legacy, nearly universal blame being put on Putin for his death, Biden’s response, and what this means for Russia’s opposition and political future."
Trump Tells Putin to Invade NATO Nations,https://crooked.com,text/html,"Wed, 14 Feb 2024 08:00:00 +0000","Tommy and Max Fisher talk about the disastrous humanitarian implications of Israel’s impending offensive in Rafah, the Biden administration’s shifting tone towards Israel, and efforts to reach out to the Muslim American community in Michigan. They also talk about Trump’s comments encouraging Russia to invade NATO members who don’t spend enough on defense, react to Tucker Carlson’s (boring) interview with Vladimir Putin, Pakistan’s shocking election results, the chances of Irish reunification, and King Charles’s quirky views on modern medicine. Then Ben speaks with New Jersey Congressman Andy Kim about his campaign to oust Senator Bob Menendez, and how corruption impacts America’s foreign policy."
Trump Tells Putin to Invade NATO Nations,https://pdst.fm/e/chrt.fm/track/479722/arttrk.com/p/CRMDA/claritaspod.com/measure/pscrb.fm/rss/p/stitcher.simplecastaudio.com/4b49775f-270f-442a-a912-b55f007e51c8/episodes/ad322486-336e-419a-910f-71d5b220a1a7/audio/128/default.mp3?aid=rss_feed&awCollectionId=4b49775f-270f-442a-a912-b55f007e51c8&awEpisodeId=ad322486-336e-419a-910f-71d5b220a1a7&feed=AeLYwXNc,audio/mpeg,"Wed, 14 Feb 2024 08:00:00 +0000","Tommy and Max Fisher talk about the disastrous humanitarian implications of Israel’s impending offensive in Rafah, the Biden administration’s shifting tone towards Israel, and efforts to reach out to the Muslim American community in Michigan. They also talk about Trump’s comments encouraging Russia to invade NATO members who don’t spend enough on defense, react to Tucker Carlson’s (boring) interview with Vladimir Putin, Pakistan’s shocking election results, the chances of Irish reunification, and King Charles’s quirky views on modern medicine. Then Ben speaks with New Jersey Congressman Andy Kim about his campaign to oust Senator Bob Menendez, and how corruption impacts America’s foreign policy."
Dissident at the Doorstep Episode 6: The Great Moving Right Show,https://crooked.com,text/html,"Sat, 10 Feb 2024 09:00:00 +0000","Almost one year after arriving in the US, the New York Post publishes a story suggesting NYU is trying to sever ties with Guangcheng. Guangcheng alleges the university is bowing to pressure from the Chinese Communist Party. Guangcheng’s hosts at NYU accuse right wing political forces of misleading him. Things get very messy. Where Guangcheng lands next sets him on a path that eventually leads to throwing his support behind Trump for reelection in 2020."
