title,link,link_type,published,summary
The Easiest Instrument? Fight me.,https://www.buzzsprout.com/832021/3076435-the-easiest-instrument-fight-me.mp3,audio/mpeg,"Thu, 30 Jul 2020 04:00:00 -0400",<p>Piano or Guitar? Fight me on Instagram about it.</p>
Minor Scale Solfege Exercises,https://www.buzzsprout.com/832021/2753380-minor-scale-solfege-exercises.mp3,audio/mpeg,"Wed, 29 Jul 2020 04:00:00 -0400",<p>Every Thursday Sam takes you through Solfege exercises to increase your familiarity with minor scales. Don&apos;t miss this!</p>
Major Scale Exercises,https://www.buzzsprout.com/832021/2709913-major-scale-exercises.mp3,audio/mpeg,"Tue, 28 Jul 2020 04:00:00 -0400",<p>Today Sam goes through some exercises to help you increase your familiarity with major scales and their corresponding solfege.</p>
Play Sappy with Major Seventh Chords,https://www.buzzsprout.com/832021/3265915-play-sappy-with-major-seventh-chords.mp3,audio/mpeg,"Mon, 27 Jul 2020 04:00:00 -0400",<p>You heard me. Play sappy.</p>
Three Out-of-Key Chords You NEED to Know,https://www.buzzsprout.com/832021/2931199-three-out-of-key-chords-you-need-to-know.mp3,audio/mpeg,"Fri, 24 Jul 2020 04:00:00 -0400","<p>Secondary Dominants. The hip, in way to play out of key without leaving the key. Listen for some practice at recognizing II7, III7, and VI7.</p>"
Interval Practice,https://www.buzzsprout.com/832021/3375709-interval-practice.mp3,audio/mpeg,"Thu, 23 Jul 2020 04:00:00 -0400",
Diminished Chords and Augmented Chords,https://www.buzzsprout.com/832021/3557536-diminished-chords-and-augmented-chords.mp3,audio/mpeg,"Wed, 22 Jul 2020 04:00:00 -0400",
Blues Scale Practice,https://www.buzzsprout.com/832021/3490447-blues-scale-practice.mp3,audio/mpeg,"Tue, 21 Jul 2020 04:00:00 -0400",
The Blues Scale,https://www.buzzsprout.com/832021/3490444-the-blues-scale.mp3,audio/mpeg,"Mon, 20 Jul 2020 04:00:00 -0400",
Sing the Minor Scale,https://www.buzzsprout.com/832021/3929024-sing-the-minor-scale.mp3,audio/mpeg,"Fri, 17 Jul 2020 04:00:00 -0400",
Sing the Major Scale,https://www.buzzsprout.com/832021/3921752-sing-the-major-scale.mp3,audio/mpeg,"Thu, 16 Jul 2020 04:00:00 -0400",
The Pentatonic Scale,https://www.buzzsprout.com/832021/3001855-the-pentatonic-scale.mp3,audio/mpeg,"Wed, 15 Jul 2020 04:00:00 -0400",<p>Tune in for some exercises and discussion of the major and minor pentatonic scale</p>
Ugly Episode: Intonation,https://www.buzzsprout.com/832021/3469807-ugly-episode-intonation.mp3,audio/mpeg,"Tue, 14 Jul 2020 04:00:00 -0400",
